datetime,zone,carbon_intensity
2026-08-19T13:00:00.000Z,DE,235
2026-08-19T14:00:00.000Z,DE,271
2026-08-19T15:00:00.000Z,DE,311
2026-08-19T16:00:00.000Z,DE,361
2026-08-19T17:00:00.000Z,DE,411
2026-08-19T18:00:00.000Z,DE,439
2026-08-19T19:00:00.000Z,DE,449
2026-08-19T20:00:00.000Z,DE,456
2026-08-19T21:00:00.000Z,DE,483
2026-08-19T22:00:00.000Z,DE,460
2026-08-19T23:00:00.000Z,DE,490
2026-08-20T00:00:00.000Z,DE,504
2026-08-20T01:00:00.000Z,DE,509
2026-08-20T02:00:00.000Z,DE,485
2026-08-20T03:00:00.000Z,DE,461
2026-08-20T04:00:00.000Z,DE,429
2026-08-20T05:00:00.000Z,DE,405
2026-08-20T06:00:00.000Z,DE,362
2026-08-20T07:00:00.000Z,DE,305
2026-08-20T08:00:00.000Z,DE,244
2026-08-20T09:00:00.000Z,DE,189
2026-08-20T10:00:00.000Z,DE,152
2026-08-20T11:00:00.000Z,DE,156
2026-08-20T12:00:00.000Z,DE,158
2026-08-20T13:00:00.000Z,DE,166
2026-08-20T14:00:00.000Z,DE,205
2026-08-20T15:00:00.000Z,DE,251
2026-08-20T16:00:00.000Z,DE,318
2026-08-20T17:00:00.000Z,DE,386
2026-08-20T18:00:00.000Z,DE,406
2026-08-20T19:00:00.000Z,DE,416
2026-08-20T20:00:00.000Z,DE,423
2026-08-20T21:00:00.000Z,DE,429
2026-08-20T22:00:00.000Z,DE,439
2026-08-20T23:00:00.000Z,DE,460
2026-08-21T00:00:00.000Z,DE,475
2026-08-21T01:00:00.000Z,DE,469
2026-08-21T02:00:00.000Z,DE,467
2026-08-21T03:00:00.000Z,DE,444
2026-08-21T04:00:00.000Z,DE,413
2026-08-21T05:00:00.000Z,DE,380
2026-08-21T06:00:00.000Z,DE,344
2026-08-21T07:00:00.000Z,DE,317
2026-08-21T08:00:00.000Z,DE,287
2026-08-21T09:00:00.000Z,DE,264
2026-08-21T10:00:00.000Z,DE,255
2026-08-21T11:00:00.000Z,DE,270
2026-08-21T12:00:00.000Z,DE,293
2026-08-21T13:00:00.000Z,DE,306
2026-08-21T14:00:00.000Z,DE,329
2026-08-21T15:00:00.000Z,DE,359
2026-08-21T16:00:00.000Z,DE,392
2026-08-21T17:00:00.000Z,DE,423
2026-08-21T18:00:00.000Z,DE,447
2026-08-21T19:00:00.000Z,DE,459
2026-08-21T20:00:00.000Z,DE,452
2026-08-21T21:00:00.000Z,DE,451
2026-08-21T22:00:00.000Z,DE,448
2026-08-21T23:00:00.000Z,DE,438
2026-08-22T00:00:00.000Z,DE,434
2026-08-22T01:00:00.000Z,DE,432
2026-08-22T02:00:00.000Z,DE,423
2026-08-22T03:00:00.000Z,DE,401
2026-08-22T04:00:00.000Z,DE,362
2026-08-22T05:00:00.000Z,DE,329
2026-08-22T06:00:00.000Z,DE,276
2026-08-22T07:00:00.000Z,DE,168
2026-08-22T08:00:00.000Z,DE,118
2026-08-22T09:00:00.000Z,DE,111
2026-08-22T10:00:00.000Z,DE,109
2026-08-22T11:00:00.000Z,DE,110
2026-08-22T12:00:00.000Z,DE,110
2026-08-22T13:00:00.000Z,DE,113
2026-08-22T14:00:00.000Z,DE,119
2026-08-22T15:00:00.000Z,DE,131
2026-08-22T16:00:00.000Z,DE,173
2026-08-22T17:00:00.000Z,DE,258
2026-08-22T18:00:00.000Z,DE,278
2026-08-22T19:00:00.000Z,DE,291
2026-08-22T20:00:00.000Z,DE,291
2026-08-22T21:00:00.000Z,DE,291
2026-08-22T22:00:00.000Z,DE,312
2026-08-22T23:00:00.000Z,DE,317
2026-08-23T00:00:00.000Z,DE,315
2026-08-23T01:00:00.000Z,DE,294
2026-08-23T02:00:00.000Z,DE,293
2026-08-23T03:00:00.000Z,DE,281
2026-08-23T04:00:00.000Z,DE,267
2026-08-23T05:00:00.000Z,DE,242
2026-08-23T06:00:00.000Z,DE,174
2026-08-23T07:00:00.000Z,DE,125
2026-08-23T08:00:00.000Z,DE,121
2026-08-23T09:00:00.000Z,DE,116
2026-08-23T10:00:00.000Z,DE,119
2026-08-23T11:00:00.000Z,DE,124
2026-08-23T12:00:00.000Z,DE,128
2026-08-23T13:00:00.000Z,DE,130
2026-08-23T14:00:00.000Z,DE,138
2026-08-23T15:00:00.000Z,DE,147
2026-08-23T16:00:00.000Z,DE,245
2026-08-23T17:00:00.000Z,DE,319
2026-08-23T18:00:00.000Z,DE,355
2026-08-23T19:00:00.000Z,DE,377
2026-08-23T20:00:00.000Z,DE,391
2026-08-23T21:00:00.000Z,DE,409
2026-08-23T22:00:00.000Z,DE,431
2026-08-23T23:00:00.000Z,DE,449
2026-08-24T00:00:00.000Z,DE,465
2026-08-24T01:00:00.000Z,DE,480
2026-08-24T02:00:00.000Z,DE,477
2026-08-24T03:00:00.000Z,DE,465
2026-08-24T04:00:00.000Z,DE,438
2026-08-24T05:00:00.000Z,DE,412
2026-08-24T06:00:00.000Z,DE,367
2026-08-24T07:00:00.000Z,DE,309
2026-08-24T08:00:00.000Z,DE,241
2026-08-24T09:00:00.000Z,DE,200
2026-08-24T10:00:00.000Z,DE,183
2026-08-24T11:00:00.000Z,DE,172
2026-08-24T12:00:00.000Z,DE,177
2026-08-24T13:00:00.000Z,DE,207
2026-08-24T14:00:00.000Z,DE,275
2026-08-24T15:00:00.000Z,DE,352
2026-08-24T16:00:00.000Z,DE,404
2026-08-24T17:00:00.000Z,DE,437
2026-08-24T18:00:00.000Z,DE,455
2026-08-24T19:00:00.000Z,DE,455
2026-08-24T20:00:00.000Z,DE,458
2026-08-24T21:00:00.000Z,DE,459
2026-08-24T21:00:00.000Z,DE,459
2026-08-24T22:00:00.000Z,DE,448
2026-08-24T23:00:00.000Z,DE,447
2026-08-25T00:00:00.000Z,DE,445
2026-08-25T01:00:00.000Z,DE,440
2026-08-25T02:00:00.000Z,DE,439
2026-08-25T03:00:00.000Z,DE,435
2026-08-25T04:00:00.000Z,DE,410
2026-08-25T05:00:00.000Z,DE,395
2026-08-25T06:00:00.000Z,DE,377
2026-08-25T07:00:00.000Z,DE,342
2026-08-25T08:00:00.000Z,DE,272
2026-08-25T09:00:00.000Z,DE,232
2026-08-25T10:00:00.000Z,DE,222
2026-08-25T11:00:00.000Z,DE,219
2026-08-25T12:00:00.000Z,DE,226
2026-08-25T13:00:00.000Z,DE,241
2026-08-25T14:00:00.000Z,DE,284
2026-08-25T15:00:00.000Z,DE,333
2026-08-25T16:00:00.000Z,DE,377
2026-08-25T17:00:00.000Z,DE,408
2026-08-25T18:00:00.000Z,DE,414
2026-08-25T19:00:00.000Z,DE,416
2026-08-25T20:00:00.000Z,DE,424
2026-08-25T21:00:00.000Z,DE,435
2026-08-25T22:00:00.000Z,DE,440
2026-08-25T23:00:00.000Z,DE,446
2026-08-26T00:00:00.000Z,DE,455
2026-08-26T01:00:00.000Z,DE,449
2026-08-26T02:00:00.000Z,DE,454
2026-08-26T03:00:00.000Z,DE,453
2026-08-26T04:00:00.000Z,DE,426
2026-08-26T05:00:00.000Z,DE,407
2026-08-26T06:00:00.000Z,DE,397
2026-08-26T07:00:00.000Z,DE,365
2026-08-26T08:00:00.000Z,DE,306
2026-08-26T09:00:00.000Z,DE,236
2026-08-26T10:00:00.000Z,DE,183
2026-08-26T11:00:00.000Z,DE,170
2026-08-26T12:00:00.000Z,DE,171
2026-08-26T13:00:00.000Z,DE,187
2026-08-26T14:00:00.000Z,DE,228
2026-08-26T15:00:00.000Z,DE,286
2026-08-26T16:00:00.000Z,DE,342
2026-08-26T17:00:00.000Z,DE,379
2026-08-26T18:00:00.000Z,DE,386
2026-08-26T19:00:00.000Z,DE,373
2026-08-26T20:00:00.000Z,DE,372
2026-08-26T21:00:00.000Z,DE,365
2026-08-26T22:00:00.000Z,DE,367
2026-08-26T23:00:00.000Z,DE,363
2026-08-27T00:00:00.000Z,DE,357
2026-08-27T01:00:00.000Z,DE,357
2026-08-27T02:00:00.000Z,DE,357
2026-08-27T03:00:00.000Z,DE,360
2026-08-27T04:00:00.000Z,DE,347
2026-08-27T05:00:00.000Z,DE,327
2026-08-27T06:00:00.000Z,DE,290
2026-08-27T07:00:00.000Z,DE,249
2026-08-27T08:00:00.000Z,DE,207
2026-08-27T09:00:00.000Z,DE,172
2026-08-27T10:00:00.000Z,DE,164
2026-08-27T11:00:00.000Z,DE,166
2026-08-27T12:00:00.000Z,DE,168
2026-08-27T13:00:00.000Z,DE,176
2026-08-27T14:00:00.000Z,DE,217
2026-08-27T15:00:00.000Z,DE,261
2026-08-27T16:00:00.000Z,DE,296
